dayofyear,pr
1951-10-01,0.04969016
1951-10-02,0.2595697
1951-10-03,0.016767634
1951-10-04,0.019254867
1951-10-05,0.19971737
1951-10-06,1.1522969
1951-10-07,0.647733
1951-10-08,0.2349455
1951-10-09,0.101906635
1951-10-10,0.9965513
1951-10-11,0.030493237
1951-10-12,0.05842935
1951-10-13,1.0015078
1951-10-14,0.5125642
1951-10-15,0.53233314
1951-10-16,0.25744238
1951-10-17,0.09818011
1951-10-18,0.013304367
1951-10-19,0.037887547
1951-10-20,0.09964328
1951-10-21,0.20609012
1951-10-22,0.54559904
1951-10-23,0.97155434
1951-10-24,1.5594897
1951-10-25,0.104691096
1951-10-26,0.23313639
1951-10-27,0.12402101
1951-10-28,2.578964
1951-10-29,5.9700575
1951-10-30,0.037557445
1951-10-31,0.024719292
1951-11-01,0.00016956242
1951-11-02,1.6526545e-24
1951-11-03,0.0019734607
1951-11-04,0.0439929
1951-11-05,0.266384
1951-11-06,0.0014256375
1951-11-07,0.009179137
1951-11-08,0.24958996
1951-11-09,0.036440745
1951-11-10,0.014180867
1951-11-11,0.06519728
1951-11-12,0.08162419
1951-11-13,0.024170542
1951-11-14,0.05320847
1951-11-15,0.1851989
1951-11-16,0.05425328
1951-11-17,0.01093632
1951-11-18,0.010109567
1951-11-19,0.064296454
1951-11-20,0.07469952
1951-11-21,0.022996116
1951-11-22,0.6030501
1951-11-23,0.5358057
1951-11-24,0.04809154
1951-11-25,0.078493334
1951-11-26,0.53631186
1951-11-27,0.15454619
1951-11-28,0.008395037
1951-11-29,0.06419758
1951-11-30,31.535671
1951-12-01,22.935406
1951-12-02,4.551407e-18
1951-12-03,2.190279
1951-12-04,0.6430575
1951-12-05,1.1428568
1951-12-06,0.30914575
1951-12-07,0.0019762933
1951-12-08,0.0138513865
1951-12-09,0.09610053
1951-12-10,0.13001506
1951-12-11,1.0555159
1951-12-12,1.2738733
1951-12-13,2.2521627
1951-12-14,38.479763
1951-12-15,27.33249
1951-12-16,0.06276
1951-12-17,1.1437914
