"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"19",19,37.69305324,2.445729247,43.40998739,303386.9708,1.08,0,0,0.56,0.37,0,0.37,0.07,2.91,0.345,1.21956456806417e-06,"Urbanized (Between 15 and 45 % Impervious)"
"20",20,68.12691091,28.73820831,5.926748961,3260351.436,1.08,0,0,0.63,0.05,0,0.05,0.11,4.29,0.05,1.53357700792351e-08,"Natural (less than 15 % Impervious)"
"21",21,41.71681727,2.133592209,64.38962281,78832.74443,1.08,0,0,0.34,0.55,0,0.55,0.03,1.12,0.511,6.97679630433742e-06,"Very urbanized (More than 45 % Impervious)"
"22",22,52.60334735,5.224537757,57.3645861,106889.4334,1.08,0,0,0.38,0.5,0,0.5,0.03,1.36,0.463,4.67773084855738e-06,"Very urbanized (More than 45 % Impervious)"
"23",23,58.75297863,2.091764046,60.15848873,712111.0521,1.08,0,0,0.33,0.49,0,0.49,0.22,8.09,0.452,6.88094923614794e-07,"Very urbanized (More than 45 % Impervious)"
"24",24,65.60653952,29.28704431,0.81502431,5956372.531,2.49,0,0,1.16,0.02,0.08,0.1,0.38,5.13,0.041,1.67887417181429e-08,"Natural (less than 15 % Impervious)"
"25",25,61.670282,27.32156393,26.67894757,434355.6042,1.08,0,0,0.58,0.23,0,0.23,0.06,2.57,0.216,5.29520047113507e-07,"Urbanized (Between 15 and 45 % Impervious)"
"26",26,52.48623249,2.385881052,52.66356043,206507.8416,1.08,0,0,0.42,0.45,0,0.45,0.06,2.41,0.418,2.17909400685925e-06,"Very urbanized (More than 45 % Impervious)"
"27",27,61.07520389,27.94698162,13.33065868,702726.8756,1.08,0,0,0.69,0.12,0,0.12,0.05,2.08,0.11,1.70763356528156e-07,"Natural (less than 15 % Impervious)"
"28",28,58.22900794,9.695153025,45.64873898,1400354.976,1.08,0,0,0.46,0.38,0,0.38,0.33,13.56,0.352,2.71359766996679e-07,"Very urbanized (More than 45 % Impervious)"
"29",29,46.60531394,4.303892997,63.75089696,62214.51584,1.08,0,0,0.34,0.55,0,0.55,0.02,0.88,0.51,8.84038061815768e-06,"Very urbanized (More than 45 % Impervious)"
"30",30,41.09880832,1.17347833,28.87544298,106274.8041,1.08,0,0,0.69,0.25,0,0.25,0.02,0.68,0.231,2.35239200972566e-06,"Urbanized (Between 15 and 45 % Impervious)"
"31",31,58.70699023,10.27077404,47.00969557,229731.4536,1.08,0,0,0.44,0.41,0,0.41,0.06,2.4,0.38,1.78469249018847e-06,"Very urbanized (More than 45 % Impervious)"
"32",32,36.36264424,1.91627193,55.41356127,201517.2728,1.08,0,0,0.44,0.47,0,0.47,0.06,2.45,0.434,2.33230627563356e-06,"Very urbanized (More than 45 % Impervious)"
"33",33,36.43171719,2.383154493,52.76045359,326340.5269,1.08,0,0,0.47,0.45,0,0.45,0.09,3.79,0.415,1.37892772397801e-06,"Very urbanized (More than 45 % Impervious)"
"34",34,50.45073099,6.571679077,55.84532683,439337.823,1.08,0,0,0.4,0.47,0,0.47,0.13,5.31,0.434,1.06979179891826e-06,"Very urbanized (More than 45 % Impervious)"
"35",35,36.38428664,2.502320422,58.1059099,163977.2857,1.08,0,0,0.42,0.5,0,0.5,0.05,2.11,0.461,3.04920280797159e-06,"Very urbanized (More than 45 % Impervious)"
"36",36,36.48504283,3.413503412,57.37834523,103198.2434,1.08,0,0,0.42,0.5,0,0.5,0.03,1.31,0.458,4.84504370933895e-06,"Very urbanized (More than 45 % Impervious)"
"37",37,41.21750926,2.866642563,57.21574745,237074.1957,1.08,0,0,0.41,0.48,0,0.48,0.07,2.95,0.446,2.02468260445943e-06,"Very urbanized (More than 45 % Impervious)"
"38",38,67.5692662,29.49279649,0.093206635,12415473.15,2.49,0,0,1.06,0,0.13,0.13,1.03,13.22,0.053,1.04708051339952e-08,"Natural (less than 15 % Impervious)"
"39",39,50.75785821,11.31944206,42.93308382,210025.122,1.08,0,0,0.52,0.38,0,0.38,0.05,2,0.349,1.8093073646685e-06,"Urbanized (Between 15 and 45 % Impervious)"
"40",40,46.96257513,7.774445572,65.26444349,78272.63391,1.08,0,0,0.33,0.57,0,0.57,0.03,1.13,0.528,7.28223865131971e-06,"Very urbanized (More than 45 % Impervious)"
"41",41,58.69059822,31.78168357,0,1024091.664,1.08,0,0,0.83,0,0,0,0,0,0,0,"Natural (less than 15 % Impervious)"
