"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"74",74,45.63212165,0.513034194,49.9518791,1593473.115,5.94,0,0,1.77,2.72,0.58,3.3,3.28,90.09,0.556,2.07094802474907e-06,"Very urbanized (More than 45 % Impervious)"
"75",75,57.16000036,3.103798958,49.96926038,646779.5547,5.94,0,0,1.25,2.83,1.34,4.17,1.68,47.57,0.702,6.44732810383006e-06,"Very urbanized (More than 45 % Impervious)"
"76",76,61.94713271,12.66893273,21.94615359,1533842.77,5.94,0,0,1.59,1.26,1.91,3.17,3.03,52.96,0.533,2.06670465969599e-06,"Urbanized (Between 15 and 45 % Impervious)"
"77",77,47.55275509,0.063163121,27.73969292,519621.8684,5.94,0,0,1.78,1.54,1.26,2.8,0.91,18.74,0.472,5.38853379789741e-06,"Urbanized (Between 15 and 45 % Impervious)"
"78",78,42.51235661,0.662519556,45.86953124,1272102.338,5.94,0,0,2.06,2.53,0.6,3.13,2.48,69.55,0.527,2.46049386633546e-06,"Very urbanized (More than 45 % Impervious)"
"79",79,42.64163649,0.780962719,55.67441413,703208.6192,5.94,0,0,1.68,3.11,0.63,3.74,1.64,48.58,0.629,5.31847861059323e-06,"Very urbanized (More than 45 % Impervious)"
"80",80,42.06349546,0,34.72397236,328301.2434,5.94,0,0,2.5,0,0,0,0,0,0,0,"Urbanized (Between 15 and 45 % Impervious)"
"81",81,43.01181935,0.202127771,53.67397184,288828.9172,5.94,0,0,1.74,3.01,0.69,3.7,0.67,19.59,0.623,1.28103516637772e-05,"Very urbanized (More than 45 % Impervious)"
"82",82,52.36590093,12.98454078,50.03240953,65510.58194,5.94,0,0,1.47,2.89,1.3,4.19,0.17,5.99,0.705,6.39591326457388e-05,"Very urbanized (More than 45 % Impervious)"
"83",83,66.33976614,33.80248846,0,249137.794,5.94,0,0,1.58,0,3.54,3.54,0.55,14.06,0.596,1.42090043552364e-05,"Natural (less than 15 % Impervious)"
