subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 47,30_perc,8,0.03
Subcatchment 47,30_perc,8.15,0.02
Subcatchment 47,30_perc,8.3,0.02
Subcatchment 47,30_perc,8.45,0.01
Subcatchment 47,30_perc,9,0.85
Subcatchment 47,30_perc,9.15,0.94
Subcatchment 47,30_perc,9.3,0.07
Subcatchment 47,30_perc,9.45,0.02
Subcatchment 47,30_perc,10,0.83
Subcatchment 47,30_perc,10.15,1.09
Subcatchment 47,30_perc,10.3,0.2
Subcatchment 47,30_perc,10.45,0.09
Subcatchment 47,30_perc,11,1.88
Subcatchment 47,50_perc,0.15,0
Subcatchment 47,50_perc,0.3,0
Subcatchment 47,50_perc,0.45,0
Subcatchment 47,50_perc,1,0
Subcatchment 47,50_perc,1.15,0
Subcatchment 47,50_perc,1.3,0
Subcatchment 47,50_perc,1.45,0
Subcatchment 47,50_perc,2,0
Subcatchment 47,50_perc,2.15,0
Subcatchment 47,50_perc,2.3,0
Subcatchment 47,50_perc,2.45,0
Subcatchment 47,50_perc,3,0
Subcatchment 47,50_perc,3.15,0
Subcatchment 47,50_perc,3.3,0
Subcatchment 47,50_perc,3.45,0
Subcatchment 47,50_perc,4,0
Subcatchment 47,50_perc,4.15,0
Subcatchment 47,50_perc,4.3,0
Subcatchment 47,50_perc,4.45,0
Subcatchment 47,50_perc,5,0
Subcatchment 47,50_perc,5.15,1.89
Subcatchment 47,50_perc,5.3,2.56
Subcatchment 47,50_perc,5.45,3.85
Subcatchment 47,50_perc,6,2.59
Subcatchment 47,50_perc,6.15,0.73
Subcatchment 47,50_perc,6.3,0.77
Subcatchment 47,50_perc,6.45,0.04
Subcatchment 47,50_perc,7,0.82
Subcatchment 47,50_perc,7.15,0.14
Subcatchment 47,50_perc,7.3,0.08
Subcatchment 47,50_perc,7.45,0.05
Subcatchment 47,50_perc,8,0.03
Subcatchment 47,50_perc,8.15,0.02
Subcatchment 47,50_perc,8.3,0.02
Subcatchment 47,50_perc,8.45,0.01
Subcatchment 47,50_perc,9,0.7
Subcatchment 47,50_perc,9.15,0.77
Subcatchment 47,50_perc,9.3,0.04
Subcatchment 47,50_perc,9.45,0.01
Subcatchment 47,50_perc,10,0.68
Subcatchment 47,50_perc,10.15,0.93
Subcatchment 47,50_perc,10.3,0.19
Subcatchment 47,50_perc,10.45,0.1
Subcatchment 47,50_perc,11,1.56
Subcatchment 60,0_perc,0.15,0
Subcatchment 60,0_perc,0.3,0
Subcatchment 60,0_perc,0.45,0
Subcatchment 60,0_perc,1,0
Subcatchment 60,0_perc,1.15,0
Subcatchment 60,0_perc,1.3,0
Subcatchment 60,0_perc,1.45,0
Subcatchment 60,0_perc,2,0
Subcatchment 60,0_perc,2.15,0
Subcatchment 60,0_perc,2.3,0
Subcatchment 60,0_perc,2.45,0
Subcatchment 60,0_perc,3,0
Subcatchment 60,0_perc,3.15,0
Subcatchment 60,0_perc,3.3,0
Subcatchment 60,0_perc,3.45,0
Subcatchment 60,0_perc,4,0
Subcatchment 60,0_perc,4.15,0
Subcatchment 60,0_perc,4.3,0
Subcatchment 60,0_perc,4.45,0
Subcatchment 60,0_perc,5,0
Subcatchment 60,0_perc,5.15,2.32
Subcatchment 60,0_perc,5.3,3.21
Subcatchment 60,0_perc,5.45,4.97
Subcatchment 60,0_perc,6,3.86
Subcatchment 60,0_perc,6.15,1.16
Subcatchment 60,0_perc,6.3,1.07
Subcatchment 60,0_perc,6.45,0.11
Subcatchment 60,0_perc,7,1.02
Subcatchment 60,0_perc,7.15,0.17
Subcatchment 60,0_perc,7.3,0.08
Subcatchment 60,0_perc,7.45,0.04
Subcatchment 60,0_perc,8,0.03
Subcatchment 60,0_perc,8.15,0.02
Subcatchment 60,0_perc,8.3,0.01
Subcatchment 60,0_perc,8.45,0.01
Subcatchment 60,0_perc,9,0.88
Subcatchment 60,0_perc,9.15,0.99
Subcatchment 60,0_perc,9.3,0.09
Subcatchment 60,0_perc,9.45,0.02
